date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:31:07	11513/11513	---M--	200	added ('OK')	image/png	etag:%222cf9-514ecc970bf00%22	https://preview.ait-themes.club/theme/sushi/wp-content/themes/sushi/design/img/logo.png	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-content/themes/sushi/design/img/logo.png	(from https://preview.ait-themes.club/theme/sushi/)
15:31:09	83025/83025	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202018%2010:24:31%20GMT	https://preview.ait-themes.club/theme/sushi/home-page/home-easy-slider/	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/home-page/home-easy-slider/index.html	(from https://preview.ait-themes.club/theme/sushi/)
15:31:10	3279/3279	---M--	200	added ('OK')	image/png	etag:%22ccf-4fcc132bd5840%22	https://preview.ait-themes.club/theme/sushi/wp-content/uploads/sites/6/ad.png	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-content/uploads/sites/6/ad.png	(from https://preview.ait-themes.club/theme/sushi/)
15:31:10	56035/56035	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202018%2010:24:33%20GMT	https://preview.ait-themes.club/theme/sushi/home-page/home-big-slider/	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/home-page/home-big-slider/index.html	(from https://preview.ait-themes.club/theme/sushi/)
15:31:11	105216/105216	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202018%2010:24:33%20GMT	https://preview.ait-themes.club/theme/sushi/home-page/home/	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/home-page/home/index.html	(from https://preview.ait-themes.club/theme/sushi/)
15:31:11	3211/3211	---M--	200	added ('OK')	image/png	etag:%22c8b-4fcc132cc9a80%22	https://preview.ait-themes.club/theme/sushi/wp-content/uploads/sites/6/columns.png	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-content/uploads/sites/6/columns.png	(from https://preview.ait-themes.club/theme/sushi/)
15:31:11	113055/113055	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202018%2010:24:33%20GMT	https://preview.ait-themes.club/theme/sushi/home-page/home-media/	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/home-page/home-media/index.html	(from https://preview.ait-themes.club/theme/sushi/)
15:31:12	109975/109975	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202018%2010:24:34%20GMT	https://preview.ait-themes.club/theme/sushi/home-page/home-corporate/	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/home-page/home-corporate/index.html	(from https://preview.ait-themes.club/theme/sushi/)
15:31:12	3261/3261	---M--	200	added ('OK')	image/png	etag:%22cbd-4fcc13355eec0%22	https://preview.ait-themes.club/theme/sushi/wp-content/uploads/sites/6/contactform.png	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-content/uploads/sites/6/contactform.png	(from https://preview.ait-themes.club/theme/sushi/)
15:31:12	81657/81657	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202018%2010:24:35%20GMT	https://preview.ait-themes.club/theme/sushi/home-page/home-people/	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/home-page/home-people/index.html	(from https://preview.ait-themes.club/theme/sushi/)
15:31:13	3312/3312	---M--	200	added ('OK')	image/png	etag:%22cf0-4fcc13355eec0%22	https://preview.ait-themes.club/theme/sushi/wp-content/uploads/sites/6/countdown.png	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-content/uploads/sites/6/countdown.png	(from https://preview.ait-themes.club/theme/sushi/)
15:31:13	86156/86156	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202018%2010:24:36%20GMT	https://preview.ait-themes.club/theme/sushi/home-page/home-posts-with-sidebar/	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/home-page/home-posts-with-sidebar/index.html	(from https://preview.ait-themes.club/theme/sushi/)
15:31:13	105086/105086	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202018%2010:24:35%20GMT	https://preview.ait-themes.club/theme/sushi/home-page/home-posts/	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/home-page/home-posts/index.html	(from https://preview.ait-themes.club/theme/sushi/)
15:31:14	3330/3330	---M--	200	added ('OK')	image/png	etag:%22d02-4fcc132cc9a80%22	https://preview.ait-themes.club/theme/sushi/wp-content/uploads/sites/6/counters.png	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-content/uploads/sites/6/counters.png	(from https://preview.ait-themes.club/theme/sushi/)
15:31:14	57651/57651	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202018%2010:24:37%20GMT	https://preview.ait-themes.club/theme/sushi/elements/	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/elements/index.html	(from https://preview.ait-themes.club/theme/sushi/)
15:31:14	181664/181664	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202018%2010:24:36%20GMT	https://preview.ait-themes.club/theme/sushi/home-page/home-longpage/	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/home-page/home-longpage/index.html	(from https://preview.ait-themes.club/theme/sushi/)
15:31:14	60857/60857	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202018%2010:24:37%20GMT	https://preview.ait-themes.club/theme/sushi/elements/advertisements/	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/elements/advertisements/index.html	(from https://preview.ait-themes.club/theme/sushi/)
15:31:15	3265/3265	---M--	200	added ('OK')	image/png	etag:%22cc1-4fcc1329ed3c0%22	https://preview.ait-themes.club/theme/sushi/wp-content/uploads/sites/6/easyslider.png	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-content/uploads/sites/6/easyslider.png	(from https://preview.ait-themes.club/theme/sushi/)
15:31:15	82724/82724	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202018%2010:24:38%20GMT	https://preview.ait-themes.club/theme/sushi/elements/columns/	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/elements/columns/index.html	(from https://preview.ait-themes.club/theme/sushi/)
15:31:15	94609/94609	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202018%2010:24:38%20GMT	https://preview.ait-themes.club/theme/sushi/elements/contact-form-2/	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/elements/contact-form-2/index.html	(from https://preview.ait-themes.club/theme/sushi/)
15:31:16	59853/59853	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202018%2010:24:38%20GMT	https://preview.ait-themes.club/theme/sushi/elements/countdown/	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/elements/countdown/index.html	(from https://preview.ait-themes.club/theme/sushi/)
15:31:16	3269/3269	---M--	200	added ('OK')	image/png	etag:%22cc5-4fcc132bd5840%22	https://preview.ait-themes.club/theme/sushi/wp-content/uploads/sites/6/events.png	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-content/uploads/sites/6/events.png	(from https://preview.ait-themes.club/theme/sushi/)
15:31:16	59603/59603	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202018%2010:24:39%20GMT	https://preview.ait-themes.club/theme/sushi/elements/counters/	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/elements/counters/index.html	(from https://preview.ait-themes.club/theme/sushi/)
15:31:16	3180/3180	---M--	200	added ('OK')	image/png	etag:%22c6c-4fcc132cc9a80%22	https://preview.ait-themes.club/theme/sushi/wp-content/uploads/sites/6/fb.png	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-content/uploads/sites/6/fb.png	(from https://preview.ait-themes.club/theme/sushi/)
15:31:16	94480/94480	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202018%2010:24:39%20GMT	https://preview.ait-themes.club/theme/sushi/elements/easy-slider/	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/elements/easy-slider/index.html	(from https://preview.ait-themes.club/theme/sushi/)
15:31:17	81192/81192	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202018%2010:24:39%20GMT	https://preview.ait-themes.club/theme/sushi/elements/events/	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/elements/events/index.html	(from https://preview.ait-themes.club/theme/sushi/)
15:31:17	3261/3261	---M--	200	added ('OK')	image/png	etag:%22cbd-4fcc1329ed3c0%22	https://preview.ait-themes.club/theme/sushi/wp-content/uploads/sites/6/faq.png	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-content/uploads/sites/6/faq.png	(from https://preview.ait-themes.club/theme/sushi/)
15:31:17	55012/55012	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202018%2010:24:40%20GMT	https://preview.ait-themes.club/theme/sushi/elements/facebook/	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/elements/facebook/index.html	(from https://preview.ait-themes.club/theme/sushi/)
15:31:17	3273/3273	---M--	200	added ('OK')	image/png	etag:%22cc9-4fcc1329ed3c0%22	https://preview.ait-themes.club/theme/sushi/wp-content/uploads/sites/6/googlemaps.png	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-content/uploads/sites/6/googlemaps.png	(from https://preview.ait-themes.club/theme/sushi/)
15:31:18	3228/3228	---M--	200	added ('OK')	image/png	etag:%22c9c-4fcc13355eec0%22	https://preview.ait-themes.club/theme/sushi/wp-content/uploads/sites/6/job.png	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-content/uploads/sites/6/job.png	(from https://preview.ait-themes.club/theme/sushi/)
15:31:18	74632/74632	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202018%2010:24:41%20GMT	https://preview.ait-themes.club/theme/sushi/elements/google-map/	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/elements/google-map/index.html	(from https://preview.ait-themes.club/theme/sushi/)
15:31:18	45432/45432	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202018%2010:24:41%20GMT	https://preview.ait-themes.club/theme/sushi/elements/faq/	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/elements/faq/index.html	(from https://preview.ait-themes.club/theme/sushi/)
15:31:19	45409/45409	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202018%2010:24:42%20GMT	https://preview.ait-themes.club/theme/sushi/elements/job-offers/	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/elements/job-offers/index.html	(from https://preview.ait-themes.club/theme/sushi/)
15:31:19	2929/2929	---M--	200	added ('OK')	image/png	etag:%22b71-4fcc132ae1600%22	https://preview.ait-themes.club/theme/sushi/wp-content/uploads/sites/6/rule.png	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-content/uploads/sites/6/rule.png	(from https://preview.ait-themes.club/theme/sushi/)
15:31:19	3384/3384	---M--	200	added ('OK')	image/png	etag:%22d38-4fcc1329ed3c0%22	https://preview.ait-themes.club/theme/sushi/wp-content/uploads/sites/6/member.png	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-content/uploads/sites/6/member.png	(from https://preview.ait-themes.club/theme/sushi/)
15:31:19	68660/68660	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202018%2010:24:42%20GMT	https://preview.ait-themes.club/theme/sushi/elements/horizontal-rule/	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/elements/horizontal-rule/index.html	(from https://preview.ait-themes.club/theme/sushi/)
15:31:20	3515/3515	---M--	200	added ('OK')	image/png	etag:%22dbb-4fcc1329ed3c0%22	https://preview.ait-themes.club/theme/sushi/wp-content/uploads/sites/6/members.png	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-content/uploads/sites/6/members.png	(from https://preview.ait-themes.club/theme/sushi/)
15:31:20	69020/69020	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202018%2010:24:43%20GMT	https://preview.ait-themes.club/theme/sushi/elements/member/	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/elements/member/index.html	(from https://preview.ait-themes.club/theme/sushi/)
15:31:20	3368/3368	---M--	200	added ('OK')	image/png	etag:%22d28-4fcc133376a40%22	https://preview.ait-themes.club/theme/sushi/wp-content/uploads/sites/6/mixcloud.png	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/wp-content/uploads/sites/6/mixcloud.png	(from https://preview.ait-themes.club/theme/sushi/)
15:31:21	68519/68519	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202018%2010:24:43%20GMT	https://preview.ait-themes.club/theme/sushi/elements/members/	C:/My%20Web%20Sites/food/preview.ait-themes.club/theme/sushi/elements/members/index.html	(from https://preview.ait-themes.club/theme/sushi/)
